| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR       | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST   | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG       | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                   |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                |   SI | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:---------|:-------------------------------|:---------------------------------------------------------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-----------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:-------------------------------|-----:|:----------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------|:-------------------|:------------------|:----------------|:-----------|:-----------|:-----------|:-------------------------------|:-------------------------------|:---------------------------|:-------------------------------|:---------|:--------------------|:-------------------------------|:-------------------------------|:-------------------------------|:------|:-------------------------------|------:|-----:|-----:|-----:|:-------------------------------|:-------------------------------|:-------------------------------|:----------|:----------|:--------|:-------------------------------|:-------------------------------|:-----------|:-------------------------------|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|--------:|--------:|:-------------------------------|:---------------------------------------------------------------------------------|:---------------------------------------------------------------------------------|:----------------------------|-----------:|-----------:|----------:|--------------:|:-----|:-------------------------------|:-------------------------------|:-----------------|:----------|:---------------------------------------------------|---------:|:----------------------|:----------------------|-----:|:----------------------|:-------------------------------|:-------------------------------|:---------------------|-----:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|---------:|---------:|-------:|
| Since the end of the 20th cent | since the end of the 20th cent | since THE_END of the 20th cent | Dalian Ocean Univ, Coll Marine Sci & Environm, Dalian 116023, Peoples R China; D | nan      | Fisheries                      | Yin, Zengqiang/GPS-7103-2022                                                     | ecological footprint of fisher | ecological footprint of fisher | ecological footprint of fisher | Yang JS          | J. S. Yang; X. W. Pan; Z. Q. Y | Yang JS; Pan XW; Yin ZQ; Cui J | Yang JS; Pan XW; Yin ZQ; Cui J | [Yang, J. S.; Pan, X. W.; Yin, Z. Q.; Cui, J. R.; Sun, P. Q.; Gu, H. F.; Li, J.  | Dalian Ocean University; Dalia |  nan | nan             | an average value; an ecosystem | an average value; an ecosystem | Yin, ZQ (corresponding author) | nan                            | China                          | China        | CHN                | CHN               | nan             | 2026-04-19 | WoS        | nan        | an average value; an ecosystem | an average value; an ecosystem | Article                    | 10.21077/ijf.2023.70.4.135615- | nan      | WOS:001137449100011 | zqyin@dlou.edu.cn              | nan                            | nan                            | EF2T8 | Bicknell KB, 1998, ECOL ECON,  |     3 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 0970-6011 | nan       | 4       | ecological footprint of fisher | ecological footprint of fisher | English    | nan                            |     0 | the end; the marine economy; t | an average value; an ecosystem | an average value; an ecosystem | 20th century; average value; b | the ecological footprint study |        9 |      34 |     nan | gold                           | Yin, Zengqiang/0000-0001-5794-6452                                               | DALIAN OCEAN UNIV; [UNKNOWN]                                                     | DALIAN OCEAN UNIV           |         10 |         18 |        27 | nan           | nan  | CENTRAL MARINE FISHERIES RESEA | INDIAN COUNCIL AGRICULTURAL RE | KOCHI            | J         | Yang JS, 2023, INDIAN J FISH, V70, P18, DOI 10.210 |        1 | Yang JS 2023          | Asia                  |  nan | nan                   | INDIAN JOURNAL OF FISHERIES    | INDIAN J FISH                  | INDIAN J FISH        |  nan | Eastern Asia                   | The ecological footprint study | the ecological footprint study | THE_ECOLOGICAL_FOOTPRINT_STUDY |    70 | Science Citation Index Expande | area; average; basic; capacity | area; average; basic; capacity | Fisheries                      |        2 |       18 |        4 |   2023 |
| The majority of recent empiric | the majority of recent empiric | THE_MAJORITY of RECENT_EMPIRIC | Democritus Univ Thrace, Dept Environm Engn, GR-67100 Xanthi, Greece; Tech Univ C | nan      | Engineering, Civil             | Grigoroudis, Evangelos/D-7716-2013; Tsalis, Thomas A/Y-3240-2018;; Tsagarakis, K | corporate sustainability; corp | corporate sustainability; corp | corporate sustainability; corp | Tsalis AT        | A. T. Tsalis; E. I. Nikolaou;  | Tsalis AT; Nikolaou EI; Grigor | Tsalis AT; Nikolaou EI; Grigor | [Tsalis, A. T.; Nikolaou, E. I.; Tsagarakis, P. K.] Democritus Univ Thrace, Dept | Democritus University of Thrac |  nan | nan             | a dynamic sustainability balan | a dynamic sustainability balan | Nikolaou, EI (corresponding au | nan                            | Greece                         | Greece       | GRC                | GRC               | nan             | 2026-04-19 | WoS        | OCT 2      | a dynamic sustainability balan | a dynamic sustainability balan | Article                    | 10.1080/10286608.2015.1006129  | nan      | WOS:000364559100001 | inikol@env.duth.gr             | nan                            | nan                            | CV8SX | Akkermans HA, 2005, J OPER RES |    15 |  nan |  nan |  nan | environmental-management; deve | environmental-management; deve | environmental-management; deve | 1028-6608 | 1029-0249 | 4       | corporate social respon-sibili | corporate social respon-sibili | English    | nan                            |     0 | the majority; recent empirical | a dynamic sustainability balan | a dynamic sustainability balan | article aims; computational ex | a dynamic sustainability balan |        4 |      64 |     nan | nan                            | Grigoroudis, Evangelos/0000-0001-8613-9350; Tsalis, Thomas A/0000-0002-9705-4747 | DEMOCRITUS UNIV THRACE; TECH UNIV CRETE                                          | DEMOCRITUS UNIV THRACE      |         20 |        281 |       300 | nan           | nan  | TAYLOR & FRANCIS LTD           | 2-4 PARK SQUARE, MILTON PARK,  | ABINGDON         | J         | Tsalis AT, 2015, CIV ENG ENV SYST, V32, P281, DOI  |        2 | Tsalis AT 2015        | Europe                |  nan | nan                   | CIVIL ENGINEERING AND ENVIRONM | CIV ENG ENV SYST               | CIV ENG ENVIRON SYST |  nan | Southern Europe                | A dynamic sustainability Balan | a dynamic sustainability balan | A_DYNAMIC_SUSTAINABILITY_BALAN |    32 | Science Citation Index Expande | aspects; balance; balanced; ba | aspects; balance; balanced; ba | Engineering                    |        0 |       60 |       18 |   2015 |
| Digital Twins (DTs) are virtua | digital twins ( dts ) are virt | DIGITAL_TWINS ( dts ) are VIRT | Policy Dynam Inc, Kitchener, ON, Canada; OP Jindal Global Univ, Sonipat, Haryana | nan      | Computer Science, Interdiscipl | ; KOUL, SAROJ/HKV-7995-2023; Taylor, Ivan/OKR-8361-2025                          | digital twins; dt; system dyna | digital twins; dt; system dyna | digital twins; dt; system dyna | Taylor IW        | Ivan W. Taylor; Saroj Koul; Fr | Taylor IW; Koul S; Araujo F; C | Taylor IW; Koul S; Araujo F; C | [Taylor, Ivan W.] Policy Dynam Inc, Kitchener, ON, Canada.; [Koul, Saroj] OP Jin | O.P. Jindal Global University  |  nan | nan             | a dt; a mealworm farmer; a sys | a dt; a mealworm farmer; a sys | Koul, S (corresponding author) | nan                            | Canada; India; Mexico; United  | Canada       | CAN; IND; MEX; USA | CAN               | nan             | 2026-04-19 | WoS        | 2025 MAY 1 | a dt; a mealworm farmer; a sys | a dt; a mealworm farmer; a sys | Article; early access      | 10.1080/17477778.2025.2492682  | MAY 2025 | WOS:001479172700001 | skoul@jgu.edu.in               | nan                            | nan                            | 2CE7F | Anderson AM, 2021, S AFR J IND |     1 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1747-7778 | 1747-7786 | nan     | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | English    | nan                            |     0 | digital twins; virtual models; | a dt; a mealworm farmer; a sys | a dt; a mealworm farmer; a sys | cost structures; critical insi | a system; digital twin applica |        4 |      66 |     nan | nan                            | Campbell, Brenden/0009-0001-5760-752X; KOUL, SAROJ/0000-0002-3051-5625; Taylor,  | OP JINDAL GLOB UNIV; PLANET BUGS LLC; POLIC DYNAM INC; [UNKNOWN]                 | POLIC DYNAM INC             |         18 |        nan |       nan | nan           | nan  | TAYLOR & FRANCIS LTD           | 2-4 PARK SQUARE, MILTON PARK,  | ABINGDON         | J         | Taylor IW, 2025, J SIMUL, DOI 10.1080/17477778.202 |        3 | Taylor IW 2025        | Americas; Asia        |  nan | nan                   | JOURNAL OF SIMULATION          | J SIMUL                        | J SIMUL              |  nan | Latin America and The Caribbea | A system dynamics-based digita | a system dynamics_based digita | A_SYSTEM dynamics based DIGITA |   nan | Science Citation Index Expande | analysis; application; approac | analysis; application; approac | Computer Science; Operations R |        1 |        2 |        2 |   2025 |
| Huang, M., Elshorbagy, A., Bar | huang , m . , elshorbagy , a . | HUANG , m . , elshorbagy , a . | Univ Saskatchewan, Dept Civil & Geol Engn, Saskatoon, SK S7N 5A9, Canada; Univ S | nan      | Soil Science                   | Zettl, Julie/JPX-5746-2023; Si, Bing Cheng/H-8745-2012; Elshorbagy,; Amin/A-6274 | system dynamics model; infiltr | system dynamics model; infiltr | system dynamics model; infiltr | Huang MB         | Mingbin Huang; Amin Elshorbagy | Huang MB; Elshorbagy A; Barbou | Huang MB; Elshorbagy A; Barbou | [Huang, Mingbin; Elshorbagy, Amin; Barbour, S. Lee; Zettl, Julie D.] Univ Saskat | University of Saskatchewan; Un |  nan | nan             | a coarse sand layer; a double  | a coarse sand layer; a double  | Elshorbagy, A (corresponding a | nan                            | Canada                         | Canada       | CAN                | CAN               | nan             | 2026-04-19 | WoS        | MAY        | a coarse sand layer; a double  | a coarse sand layer; a double  | Article                    | 10.4141/CJSS10009              | nan      | WOS:000291714300006 | amin.elshorbagy@usask.ca       | Cumulative Environmental Manag | The authors acknowledge fundin | 778OP | Alfnes E, 2004, J CONTAM HYDRO |    24 |  nan |  nan |  nan | particle-size distribution; un | particle-size distribution; un | particle-size distribution; un | 0008-4271 | 1918-1841 | 2       | design; drainage; infiltration | design; drainage; infiltration | English    | Elshorbagy A, 2007, HYDROLOG S |     0 | huang; si; system dynamics mod | a coarse sand layer; a double  | a coarse sand layer; a double_ | coarse sand layer; coarse soil | system dynamics modeling; infi |        5 |      34 |       1 | nan                            | Si, Bing Cheng/0000-0002-7497-5033; Elshorbagy, Amin/0000-0002-5740-8029         | UNIV SASK                                                                        | UNIV SASK                   |         13 |        185 |       197 | nan           | nan  | CANADIAN SCIENCE PUBLISHING    | 65 AURIGA DR, SUITE 203, OTTAW | OTTAWA           | J         | Huang MB, 2011, J SOIL SCI, V91, P185, DOI 10.4141 |        4 | Huang MB 2011         | Americas              |  nan | nan                   | CANADIAN JOURNAL OF SOIL SCIEN | J SOIL SCI                     | CAN J SOIL SCI       |  nan | Northern America               | System dynamics modeling of in | system dynamics modeling of in | SYSTEM_DYNAMICS_MODELING of IN |    91 | Science Citation Index Expande | assumptions; based; capacity;  | assumptions; based; capacity;  | Agriculture                    |        0 |       60 |       32 |   2011 |
| Reconstruction of disturbed wa | reconstruction of disturbed wa | RECONSTRUCTION of DISTURBED_WA | Univ Saskatchewan, Ctr Adv Numer Simulat, CANSIM, Dept Civil & Geol Engn, Saskat | nan      | Water Resources                | Jutla, Antarpreet/E-8881-2010; Elshorbagy, Amin/A-6274-2015                      | watershed modeling; system dyn | watershed modelling; system dy | watershed modeling; system dyn | Elshorbagy A     | Amin Elshorbagy; A. Jutla; J.  | Elshorbagy A; Jutla A; Kells J | Elshorbagy A; Jutla A; Kells J | Univ Saskatchewan, Ctr Adv Numer Simulat, CANSIM, Dept Civil & Geol Engn, Saskat | University of Saskatchewan; Un |  nan | Vienna, AUSTRIA | a common practice; a simulatio | a common practice; a simulatio | Elshorbagy, A (corresponding a | Annual Meeting of the European | Canada                         | Canada       | CAN                | CAN               | APR 02-04, 2006 | 2026-04-19 | WoS        | JUN        | a common practice; a simulatio | a common practice; a simulatio | Article; proceedings paper | 10.1623/hysj.52.3.538          | nan      | WOS:000246889000011 | amin.elshorbagy@usask.ca       | nan                            | nan                            | 173RA | Albright WH, 2004, J ENVIRON Q |    33 |  nan |  nan |  nan | yielding ephemeral catchments; | yielding ephemeral catchments; | yielding ephemeral catchments; | 0262-6667 | nan       | 3       | balance; cycle; final covers;  | balance; cycle; final covers;  | English    | nan                            |     2 | reconstruction; disturbed wate | a common practice; a simulatio | a common practice; a simulatio | alberta environment; common pr | simulation; the hydrological p |        3 |      59 |     nan | Bronze                         | Jutla, Antarpreet/0000-0002-8191-2348; Elshorbagy, Amin/0000-0002-5740-8029      | UNIV SASK                                                                        | UNIV SASK                   |         25 |        538 |       562 | nan           | nan  | IAHS PRESS, INST HYDROLOGY     | C/O FRANCES WATKINS, WALLINGFO | WALLINGFORD      | J         | Elshorbagy A, 2007, HYDROLOG SCI J, V52, P538, DOI |        5 | Elshorbagy A 2007     | Americas              |  nan | European Geosci Union | HYDROLOGICAL SCIENCES JOURNAL- | HYDROL SCI J-J SCI HYDROL      | HYDROLOG SCI J       |  nan | Northern America               | Simulation of the hydrological | simulation of the hydrological | SIMULATION of THE_HYDROLOGICAL |    52 | Conference Proceedings Citatio | accuracy; aid; alberta; approa | accuracy; aid; alberta; approa | Water Resources                |        0 |       27 |       38 |   2007 |
| This study was performed in a  | this study was performed in a  | this_study_was performed in A_ | Sonora Inst Technol, Ind Engn Dept, Obregon 85000, Sonora, Mexico                | 7938     | Chemistry, Multidisciplinary;  | Lagarda-Leyva, Ernesto A/ADI-6471-2022                                           | system dynamics; value stream  | system dynamics; value stream  | system dynamics; value stream  | Lagarda-Leyva EA | Ernesto A. Lagarda-Leyva       | Lagarda-Leyva EA               | Lagarda-Leyva EA               | [Lagarda-Leyva, Ernesto A.] Sonora Inst Technol, Ind Engn Dept, Obregon 85000, S | nan                            |  nan | nan             | a causal diagram; a contributi | a causal diagram; a contributi | Lagarda-Leyva, EA (correspondi | nan                            | Mexico                         | Mexico       | MEX                | MEX               | nan             | 2026-04-19 | WoS        | SEP        | a causal diagram; a contributi | a causal diagram; a contributi | Article                    | 10.3390/app11177938            | nan      | WOS:000694137400001 | ernesto.lagarda@itson.edu.mx   | Instituto Tecnologico de Sonor | The author is grateful to the  | UN6QA | Abdallah AB, 2021, BUS PROCESS |     7 |  nan |  nan |  nan | management                     | management                     | management                     | nan       | 2076-3417 | 17      | logistics; management; scenari | logistics; management; scenari | English    | nan                            |     0 | a regional product marketing c | a causal diagram; a contributi | a causal diagram; a contributi | causal diagram; ciudad obregon | system dynamics; lean approach |        1 |      40 |     nan | Green Submitted, gold          | Lagarda-Leyva, Ernesto A/0000-0001-9552-9908                                     | [UNKNOWN]                                                                        | [UNKNOWN]                   |         19 |        nan |       nan | nan           | nan  | MDPI                           | MDPI AG, Grosspeteranlage 5, C | BASEL            | J         | Lagarda-Leyva EA, 2021, APPL SCI-BASEL, V11, DOI 1 |        6 | Lagarda-Leyva EA 2021 | Americas              |  nan | nan                   | APPLIED SCIENCES-BASEL         | APPL SCI-BASEL                 | APPL SCI-BASEL       |  nan | Latin America and The Caribbea | System Dynamics and Lean Appro | system dynamics and lean appro | SYSTEM_DYNAMICS and LEAN_APPRO |    11 | Science Citation Index Expande | approach; architect; attribute | approach; architect; attribute | Chemistry; Engineering; Materi |        2 |       34 |        9 |   2021 |
| This study presents a comprehe | this study presents a comprehe | this_study_presents A_COMPREHE | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Del Charro 450 Col  | nan      | Engineering, Mechanical        | Ramírez, Cuauhtemoc/F-9267-2010; Garcia Alcaraz, Pedro/KEI-2894-2024;; Díaz, Rob | social sustainability; lean ma | social sustainability; lean ma | social sustainability; lean ma | Díaz-Reza JR     | Jose Roberto Diaz-Reza; Jorge  | Díaz-Reza JR; García-Alcaraz J | Díaz-Reza JR; García-Alcaraz J | [Diaz-Reza, Jose Roberto] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | in  time; a comprehensive app  | in  time; a comprehensive app  | García-Alcaraz, JL (correspond | nan                            | Mexico                         | Mexico       | MEX                | MEX               | nan             | 2026-04-19 | WoS        | MAR        | in  time; a comprehensive app  | in  time; a comprehensive app  | Article                    | 10.59038/jjmie/180109          | nan      | WOS:001195877700013 | nan                            | nan                            | nan                            | MT4Q2 | Abdul-Rashid SH, 2017, INT J O |    10 |  nan |  nan |  nan | implementation; performance; j | implementation; performance; j | implementation; performance; j | 1995-6665 | nan       | 1       | implementation; jit; lean mana | implementation; jit; lean mana | English    | nan                            |     1 | a comprehensive approach; the  | in  time; a comprehensive app  | 411 surveys; a comprehensive a | _in _time; automotive sector;  | the impact; lean manufacturing |        4 |      46 |     nan | Bronze                         | nan                                                                              | UNIV AUTON CIUDAD JUAREZ; [UNKNOWN]                                              | UNIV AUTON CIUDAD JUAREZ    |         18 |        113 |       130 | nan           | nan  | HASHEMITE UNIV                 | DEANSHIP ACAD RES & GRADUATE S | ZARKA            | J         | Díaz-Reza JR, 2024, JORDAN J MECH IND EN, V18, P11 |        7 | Díaz-Reza JR 2024     | Americas              |  nan | nan                   | JORDAN JOURNAL OF MECHANICAL A | JORDAN J MECH IND ENG          | JORDAN J MECH IND EN |  nan | Latin America and The Caribbea | Assessing the impact of Lean m | assessing the impact of lean m | assessing THE_IMPACT of LEAN_M |    18 | Emerging Sources Citation Inde | addresses; ambitious; analysis | addresses; ambitious; analysis | Engineering                    |        8 |       37 |       10 |   2024 |
| The relationship between Lean  | the relationship between lean  | THE_RELATIONSHIP between LEAN_ | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Charro 450 North Co | 141453   | Green & Sustainable Science &  | Sánchez-Ramírez, Cuauhtémoc/F-9267-2010; García-Alcaraz, Jorge; Luis/N-9124-2013 | social sustainability; lean ma | social sustainability; lean ma | social sustainability; lean ma | Díaz-Reza JR     | Jose Roberto Diaz-Reza; S. Hoo | Díaz-Reza JR; Mousavi SH; Sánc | Díaz-Reza JR; Mousavi SH; Sánc | [Diaz-Reza, Jose Roberto] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | a high level; a questionnaire; | a high level; a questionnaire; | García-Alcaraz, JL (correspond | nan                            | Iran; Mexico                   | Mexico       | IRN; MEX           | MEX               | nan             | 2026-04-19 | WoS        | APR 5      | a high level; a questionnaire; | a high level; a questionnaire; | Article                    | 10.1016/j.jclepro.2024.141453  | MAR 2024 | WOS:001218809000001 | inv.pos07@uacj.mx; h.mousavi@m | Universidad Autonoma de Ciudad | Jose Roberto Diaz Reza is rece | QC9Y2 | Afum E, 2023, J ENG DES TECHNO |    22 |  nan |  nan |  nan | implementation; performance; c | implementation; performance; c | implementation; performance; c | 0959-6526 | 1879-1786 | nan     | changeover; impact; implementa | changeover; impact; implementa | English    | nan                            |     0 | the relationship; lean manufac | a high level; a questionnaire; | 411 responses; a high level; a | business environments; critica | social sustainability; lean ma |        4 |      87 |     nan | nan                            | Sánchez-Ramírez, Cuauhtémoc/0000-0002-0344-1966; García-Alcaraz, Jorge Luis/0000 | K N TOOSI UNIV TECHNOL; UNIV AUTON CIUDAD JUAREZ; [UNKNOWN]                      | UNIV AUTON CIUDAD JUAREZ    |         17 |        nan |       nan | nan           | nan  | ELSEVIER SCI LTD               | 125 London Wall, London, ENGLA | London           | J         | Díaz-Reza JR, 2024, J CLEAN PROD, V448, DOI 10.101 |        8 | Díaz-Reza JR 2024a    | Americas; Asia        |  nan | nan                   | JOURNAL OF CLEANER PRODUCTION  | J CLEAN PROD                   | J CLEAN PROD         |  nan | Latin America and The Caribbea | Achieving social sustainabilit | achieving social sustainabilit | achieving SOCIAL_SUSTAINABILIT |   448 | Science Citation Index Expande | adoption; alterations; approac | adoption; alterations; approac | Science & Technology - Other T |        5 |       38 |       28 |   2024 |
| Problems with water resources  | problems with water resources  | PROBLEMS with WATER_RESOURCES  | Beijing Normal Univ, Sch Environm, Key Lab Water & Sediment Sci, Minist Educ, Be | nan      | Engineering, Civil; Geoscience | nan                                                                              | system dynamics model; water r | system dynamics model; water r | system dynamics model; water r | Li Z             | Zhi Li; Chunhui Li; Xuan Wang; | Li Z; Li CH; Wang X; Peng C; C | Li Z; Li CH; Wang X; Peng C; C | [Li, Zhi; Li, Chunhui; Wang, Xuan; Peng, Cong; Cai, Yanpeng; Huang, Weichen] Bei | Beijing Normal University; Bei |  nan | nan             | a city; a hybrid system dynami | a city; a hybrid system dynami | Li, CH (corresponding author), | nan                            | China                          | China        | CHN                | CHN               | nan             | 2026-04-19 | WoS        | JAN        | a city; a hybrid system dynami | a city; a hybrid system dynami | Article                    | 10.1016/j.jhydrol.2017.11.007  | nan      | WOS:000423641300005 | chunhuili@bnu.edu.cn           | National Key Research and Deve | This research was supported by | FU1WX | [Anonymous], COMMUNICATION; Ar |    40 |  nan |  nan |  nan | early warning system; manageme | early warning system; manageme | early warning system; manageme | 0022-1694 | 1879-2707 | nan     | basin; early warning system; m | basin; early warning system; m | English    | nan                            |     2 | problems; water resources; the | a city; a hybrid system dynami | a city; a hybrid system dynami | decision makers; economic syst | a hybrid system dynamics; opti |        6 |      48 |     nan | nan                            | Chunhui, Li/0000-0003-0067-4112                                                  | BEIJING NORM UNIV                                                                | BEIJING NORM UNIV           |         11 |         50 |        60 | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Li Z, 2018, J HYDROL, V556, P50, DOI 10.1016/j.jhy |        9 | Li Z 2018             | Asia                  |  nan | nan                   | JOURNAL OF HYDROLOGY           | J HYDROL                       | J HYDROL             |  nan | Eastern Asia                   | A hybrid system dynamics and o | a hybrid system dynamics and o | A_HYBRID_SYSTEM_DYNAMICS and O |   556 | Science Citation Index Expande | allocation; approach; basin; b | allocation; approach; basin; b | Engineering; Geology; Water Re |        3 |      172 |       45 |   2018 |
