 Col.OCC  Col.CUM_SUM_DOCS Col.COVERAGE  Col.CUM_SUM_ITEMS
     450               450      95.54 %                  1
     448               471     100.00 %                  2
     434               471     100.00 %                  3
     372               471     100.00 %                  4
     202               471     100.00 %                  5
     144               471     100.00 %                  6
     135               471     100.00 %                  7
     105               471     100.00 %                  8
     103               471     100.00 %                  9
      95               471     100.00 %                 10
      90               471     100.00 %                 11
      83               471     100.00 %                 12
      74               471     100.00 %                 13
      71               471     100.00 %                 14
      57               471     100.00 %                 16
      53               471     100.00 %                 17
      51               471     100.00 %                 18
      50               471     100.00 %                 19
      49               471     100.00 %                 22
      48               471     100.00 %                 23
      46               471     100.00 %                 24
      45               471     100.00 %                 25
      44               471     100.00 %                 26
      42               471     100.00 %                 28
      40               471     100.00 %                 31
      39               471     100.00 %                 33
      37               471     100.00 %                 34
      36               471     100.00 %                 35
      35               471     100.00 %                 38
      34               471     100.00 %                 41
      33               471     100.00 %                 47
      30               471     100.00 %                 51
      29               471     100.00 %                 55
      28               471     100.00 %                 57
      27               471     100.00 %                 67
      26               471     100.00 %                 71
      25               471     100.00 %                 77
      24               471     100.00 %                 81
      23               471     100.00 %                 83
      22               471     100.00 %                 90
      21               471     100.00 %                 95
      20               471     100.00 %                106
      19               471     100.00 %                117
      18               471     100.00 %                122
      17               471     100.00 %                132
      16               471     100.00 %                136
      15               471     100.00 %                146
      14               471     100.00 %                156
      13               471     100.00 %                170
      12               471     100.00 %                183
      11               471     100.00 %                201
      10               471     100.00 %                230
       9               471     100.00 %                256
       8               471     100.00 %                292
       7               471     100.00 %                340
       6               471     100.00 %                400
       5               471     100.00 %                504
       4               471     100.00 %                665
       3               471     100.00 %                985
       2               471     100.00 %               1804
       1               471     100.00 %              10847
